시도,군구,관광지,내/외국인,총계,인원계,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월
제주특별자치도,제주시,국립제주박물관,내국인,"91,021","91,021","7,242","6,376","3,373","4,772","6,297","6,806","8,967","8,804","3,696","6,004","8,014","20,670"
,,,외국인,490,490,7,15,5,48,42,55,93,76,52,34,26,37
,,,합계,"91,511","91,511","7,249","6,391","3,378","4,820","6,339","6,861","9,060","8,880","3,748","6,038","8,040","20,707"
,,도립미술관,내국인,"37,100","37,100",925,"2,007","2,449","2,597","2,922","2,363","4,534","4,822","2,702","4,434","3,833","3,512"
,,,외국인,377,377,1,18,11,23,39,9,31,17,81,50,46,51
,,,합계,"37,477","37,477",926,"2,025","2,460","2,620","2,961","2,372","4,565","4,839","2,783","4,484","3,879","3,563"
,,만장굴관광지,내국인,"328,398","328,398","7,214","12,628","17,354","17,540","29,904","30,096","50,526","48,635","26,580","33,804","29,373","24,744"
,,,외국인,"7,086","7,086",68,198,549,369,947,928,"1,000",703,822,511,586,405
,,,합계,"335,484","335,484","7,282","12,826","17,903","17,909","30,851","31,024","51,526","49,338","27,402","34,315","29,959","25,149"
,,민속자연사박물관,내국인,"80,057","80,057","3,332","4,968","5,995","7,628","7,804","5,235","6,600","7,107","6,387","7,582","9,682","7,737"
,,,외국인,328,328,5,7,35,18,42,46,53,55,21,14,12,20
,,,합계,"80,385","80,385","3,337","4,975","6,030","7,646","7,846","5,281","6,653","7,162","6,408","7,596","9,694","7,757"
,,비자림,내국인,"613,893","613,893","18,246","28,824","40,439","40,139","69,579","55,072","62,751","50,066","51,350","77,347","71,269","48,811"
,,,외국인,503,503,4,17,35,24,47,20,107,69,51,60,27,42
,,,합계,"614,396","614,396","18,250","28,841","40,474","40,163","69,626","55,092","62,858","50,135","51,401","77,407","71,296","48,853"
,,삼양선사유적지,내국인,"14,778","14,778",726,"1,202","1,427","1,633","1,595","1,316","1,096",868,945,"1,259","1,468","1,243"
,,,외국인,102,102,2,0,2,0,0,0,77,7,3,2,7,2
,,,합계,"14,880","14,880",728,"1,202","1,429","1,633","1,595","1,316","1,173",875,948,"1,261","1,475","1,245"
,,절물자연휴양림,내국인,"456,216","456,216","5,384","19,539","24,528","44,212","52,473","49,791","44,421","41,381","34,976","55,882","53,140","30,489"
,,,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,합계,"456,216","456,216","5,384","19,539","24,528","44,212","52,473","49,791","44,421","41,381","34,976","55,882","53,140","30,489"
,,제주도립 김창열미술관,내국인,"60,046","60,046","2,558","3,478","4,358","4,938","5,470","5,262","7,428","6,588","4,421","6,192","4,936","4,417"
,,,외국인,70,70,4,2,3,8,7,5,7,3,7,15,3,6
,,,합계,"60,116","60,116","2,562","3,480","4,361","4,946","5,477","5,267","7,435","6,591","4,428","6,207","4,939","4,423"
,,제주돌문화공원,내국인,"103,775","103,775","2,212","4,475","4,632","7,331","7,974","5,800","4,552","4,212","5,988","13,803","26,813","15,983"
,,,외국인,863,863,15,50,80,77,135,99,83,72,60,51,91,50
,,,합계,"104,638","104,638","2,227","4,525","4,712","7,408","8,109","5,899","4,635","4,284","6,048","13,854","26,904","16,033"
,,제주목관아지,내국인,"43,439","43,439","1,903","3,533","4,153","4,805","4,542","3,710","2,542","2,206","2,843","5,077","4,850","3,275"
,,,외국인,961,961,17,86,97,83,158,134,45,54,105,95,49,38
,,,합계,"44,400","44,400","1,920","3,619","4,250","4,888","4,700","3,844","2,587","2,260","2,948","5,172","4,899","3,313"
,,제주별빛누리공원,내국인,"14,188","14,188",418,853,559,885,"1,276",863,"1,298","1,227",555,"1,088","2,896","2,270"
,,,외국인,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,합계,"14,188","14,188",418,853,559,885,"1,276",863,"1,298","1,227",555,"1,088","2,896","2,270"
,,제주항일기념관,내국인,"66,361","66,361","4,165","3,860","6,200","7,128","7,637","7,644","4,821","5,109","3,981","6,192","6,192","3,432"
,,,외국인,9,9,0,0,1,0,0,0,1,7,0,0,0,0
,,,합계,"66,370","66,370","4,165","3,860","6,201","7,128","7,637","7,644","4,822","5,116","3,981","6,192","6,192","3,432"
,,제주현대미술관,내국인,"83,104","83,104","2,833","3,746","4,806","4,869","4,623","4,539","11,676","11,073","7,357","9,612","8,160","9,810"
,,,외국인,87,87,4,6,2,0,6,10,5,21,18,13,2,0
,,,합계,"83,191","83,191","2,837","3,752","4,808","4,869","4,629","4,549","11,681","11,094","7,375","9,625","8,162","9,810"
,,한라산국립공원,내국인,"649,838","649,838","39,089","50,063","41,918","55,113","71,564","57,358","35,915","35,783","45,544","81,521","72,775","63,195"
,,,외국인,"2,868","2,868",101,98,198,186,440,379,327,215,390,192,178,164
,,,합계,"652,706","652,706","39,190","50,161","42,116","55,299","72,004","57,737","36,242","35,998","45,934","81,713","72,953","63,359"
,,항몽 유적지,내국인,"86,155","86,155","3,178","4,342","6,699","8,877","10,039","7,969","7,618","6,965","6,306","10,349","9,818","3,995"
,,,외국인,623,623,0,0,0,13,14,4,547,3,17,14,8,3
,,,합계,"86,778","86,778","3,178","4,342","6,699","8,890","10,053","7,973","8,165","6,968","6,323","10,363","9,826","3,998"
,,해녀 박물관,내국인,"45,945","45,945","2,139","3,553","3,127","4,391","5,139","3,844","4,493","3,318","2,599","4,235","4,630","4,477"
,,,외국인,608,608,5,24,50,85,75,102,62,26,27,5,123,24
,,,합계,"46,553","46,553","2,144","3,577","3,177","4,476","5,214","3,946","4,555","3,344","2,626","4,240","4,753","4,501"
,서귀포시,감귤박물관,내국인,"10,971","10,971",,,,"2,991","3,898","4,082",,,,,,
,,,외국인,30,30,,,,5,11,14,,,,,,
,,,합계,"11,001","11,001",,,,"2,996","3,909","4,096",,,,,,
,,기당미술관,내국인,"3,404","3,404",,,,"1,035","1,232","1,137",,,,,,
,,,외국인,0,0,,,,0,0,0,,,,,,
,,,합계,"3,404","3,404",,,,"1,035","1,232","1,137",,,,,,
,,마라해양도립공원,내국인,"227,083","227,083",,,,"89,984","82,855","54,244",,,,,,
,,,외국인,0,0,,,,0,0,0,,,,,,
,,,합계,"227,083","227,083",,,,"89,984","82,855","54,244",,,,,,
,,산방산,내국인,"81,974","81,974",,,,"23,722","33,641","24,611",,,,,,
,,,외국인,120,120,,,,23,18,79,,,,,,
,,,합계,"82,094","82,094",,,,"23,745","33,659","24,690",,,,,,
,,서귀포도립해양공원,내국인,"32,921","32,921",,,,"10,894","11,357","10,670",,,,,,
,,,외국인,0,0,,,,0,0,0,,,,,,
,,,합계,"32,921","32,921",,,,"10,894","11,357","10,670",,,,,,
,,서귀포자연휴양림,내국인,"39,636","39,636",,,,"11,819","14,217","13,600",,,,,,
,,,외국인,31,31,,,,17,6,8,,,,,,
,,,합계,"39,667","39,667",,,,"11,836","14,223","13,608",,,,,,
,,서복전시관,내국인,"5,104","5,104",,,,"1,807","1,949","1,348",,,,,,
,,,외국인,22,22,,,,8,6,8,,,,,,
,,,합계,"5,126","5,126",,,,"1,815","1,955","1,356",,,,,,
,,성산일출봉,내국인,"117,731","117,731",,,,"33,815","46,852","37,064",,,,,,
,,,외국인,"1,056","1,056",,,,187,410,459,,,,,,
,,,합계,"118,787","118,787",,,,"34,002","47,262","37,523",,,,,,
,,이중섭미술관,내국인,"14,244","14,244",,,,"5,407","5,249","3,588",,,,,,
,,,외국인,3,3,,,,0,0,3,,,,,,
,,,합계,"14,247","14,247",,,,"5,407","5,249","3,591",,,,,,
,,정방폭포,내국인,"159,029","159,029",,,,"52,491","55,298","51,240",,,,,,
,,,외국인,"2,065","2,065",,,,173,833,"1,059",,,,,,
,,,합계,"161,094","161,094",,,,"52,664","56,131","52,299",,,,,,
,,제주국제평화센터,내국인,"1,589","1,589",,,,645,502,442,,,,,,
,,,외국인,0,0,,,,0,0,0,,,,,,
,,,합계,"1,589","1,589",,,,645,502,442,,,,,,
,,제주추사관,내국인,"9,915","9,915",,,,"3,589","3,720","2,606",,,,,,
,,,외국인,13,13,,,,3,6,4,,,,,,
,,,합계,"9,928","9,928",,,,"3,592","3,726","2,610",,,,,,
,,중문대포해안주상절리대,내국인,"187,627","187,627",,,,"64,636","66,110","56,881",,,,,,
,,,외국인,628,628,,,,67,275,286,,,,,,
,,,합계,"188,255","188,255",,,,"64,703","66,385","57,167",,,,,,
,,천제연폭포,내국인,"100,655","100,655",,,,"32,699","35,088","32,868",,,,,,
,,,외국인,138,138,,,,18,42,78,,,,,,
,,,합계,"100,793","100,793",,,,"32,717","35,130","32,946",,,,,,
,,천지연폭포,내국인,"252,764","252,764",,,,"84,971","89,127","78,666",,,,,,
,,,외국인,806,806,,,,18,252,536,,,,,,
,,,합계,"253,570","253,570",,,,"84,989","89,379","79,202",,,,,,
